ClockLab,,,,
1873L,,,,
16-Nov-20,6:00,,,
Day,Hr,Min,Cnts/min,Lights
16,9,20,0,236
16,9,25,0,234.4
16,9,30,0,232
16,9,35,0,233.8
16,9,40,0,233.6
16,9,45,0,237.6
16,9,50,0,235.6
16,9,55,0,244.4
16,10,0,0,235
16,10,5,0,236
16,10,10,0,238.6
16,10,15,0,237.2
16,10,20,0,231
16,10,25,0,234.8
16,10,30,0,238.6
16,10,35,0,237.2
16,10,40,0,239.4
16,10,45,0,234.8
16,10,50,0,235.8
16,10,55,0,230.6
16,11,0,0,235.2
16,11,5,0,232
16,11,10,0,233.8
16,11,15,0,241.6
16,11,20,0,235.2
16,11,25,0,233
16,11,30,0,235.6
16,11,35,18.6,230.2
16,11,40,22.8,231.2
16,11,45,18.2,228.4
16,11,50,0,227.2
16,11,55,0,232.2
16,12,0,2.6,231.8
16,12,5,0,234.4
16,12,10,0,237.6
16,12,15,0,236.4
16,12,20,0,234.8
16,12,25,0,237
16,12,30,0,235.4
16,12,35,0,232.8
16,12,40,0,235
16,12,45,0,236.2
16,12,50,0,237.6
16,12,55,0,232.6
16,13,0,0,235.6
16,13,5,0,235.8
16,13,10,0,236.8
16,13,15,0,227
16,13,20,0,229.4
16,13,25,0,239.6
16,13,30,0,239.4
16,13,35,0,232
16,13,40,0,237.8
16,13,45,0,233.8
16,13,50,0,239.8
16,13,55,0,234.6
16,14,0,0,232
16,14,5,0,233.6
16,14,10,0,233.4
16,14,15,0,235
16,14,20,0,228
16,14,25,0,233.2
16,14,30,0,235.2
16,14,35,0,236.6
16,14,40,0,229.8
16,14,45,0,236.8
16,14,50,0,236.2
16,14,55,0,232.6
16,15,0,12.2,228.2
16,15,5,15,45.8
16,15,10,18,0
16,15,15,0,0
16,15,20,0,0
16,15,25,0,0
16,15,30,0,0
16,15,35,0,0
16,15,40,0,0
16,15,45,4.8,0
16,15,50,11,0
16,15,55,0,0
16,16,0,0,0
16,16,5,0,0
16,16,10,0,0
16,16,15,0,0
16,16,20,0,0
16,16,25,0,0
16,16,30,0,0
16,16,35,0,0
16,16,40,0,0
16,16,45,0,0
16,16,50,0,0
16,16,55,0,0
16,17,0,0,0
16,17,5,0,0
16,17,10,6.4,0
16,17,15,0,0
16,17,20,0,0
16,17,25,23.8,0
16,17,30,23.2,0
16,17,35,23.4,0
16,17,40,1.6,0
16,17,45,0,0
16,17,50,0,0
16,17,55,0,0
16,18,0,0,0
16,18,5,0,0
16,18,10,0,0
16,18,15,0,0
16,18,20,0,0
16,18,25,0,0
16,18,30,0,0
16,18,35,0,0
16,18,40,0,0
16,18,45,12.8,0
16,18,50,0,0
16,18,55,16.2,0
16,19,0,22.2,0
16,19,5,25.8,0
16,19,10,14.6,0
16,19,15,23.6,0
16,19,20,32,0
16,19,25,36.6,0
16,19,30,24.6,0
16,19,35,26.6,0
16,19,40,29,0
16,19,45,35.2,0
16,19,50,20.2,0
16,19,55,21,0
16,20,0,16,0
16,20,5,8,0
16,20,10,22.2,0
16,20,15,13,0
16,20,20,4.8,0
16,20,25,16.8,0
16,20,30,5.8,0
16,20,35,12.8,0
16,20,40,18.8,0
16,20,45,20.8,0
16,20,50,34.2,0
16,20,55,26,0
16,21,0,31,0
16,21,5,22,0
16,21,10,2.8,0
16,21,15,6.4,0
16,21,20,0,0
16,21,25,0,0
16,21,30,0,0
16,21,35,0,0
16,21,40,0,0
16,21,45,0,0
16,21,50,0,0
16,21,55,0,0
16,22,0,0,0
16,22,5,0,0
16,22,10,0,0
16,22,15,0,0
16,22,20,0,0
16,22,25,0,0
16,22,30,0,0
16,22,35,0,0
16,22,40,0,0
16,22,45,0,0
16,22,50,0,0
16,22,55,0,0
16,23,0,0,0
16,23,5,11.4,0
16,23,10,3.2,0
16,23,15,31.6,0
16,23,20,37,0
16,23,25,42.4,0
16,23,30,11,0
16,23,35,17,0
16,23,40,19.8,0
16,23,45,27.8,0
16,23,50,21.6,0
16,23,55,11.2,0
17,0,0,18,0
17,0,5,36.4,0
17,0,10,7.2,0
17,0,15,19.6,0
17,0,20,37,0
17,0,25,37.8,0
17,0,30,12.2,0
17,0,35,35.2,0
17,0,40,38,0
17,0,45,20.2,0
17,0,50,33.2,0
17,0,55,34.8,0
17,1,0,15.6,0
17,1,5,20.2,0
17,1,10,16,0
17,1,15,12.4,0
17,1,20,21,0
17,1,25,24.6,0
17,1,30,28.8,0
17,1,35,21.4,0
17,1,40,0,0
17,1,45,0,0
17,1,50,0,0
17,1,55,0,0
17,2,0,0,0
17,2,5,0,0
17,2,10,0,0
17,2,15,0,0
17,2,20,0,0
17,2,25,0,0
17,2,30,0,0
17,2,35,0,0
17,2,40,0,0
17,2,45,0,0
17,2,50,0,0
17,2,55,0,0
17,3,0,0,0
17,3,5,0,0
17,3,10,0,0
17,3,15,0,0
17,3,20,0,0
17,3,25,0,0
17,3,30,0,0
17,3,35,0,0
17,3,40,0,0
17,3,45,0,0
17,3,50,0,0
17,3,55,0,0
17,4,0,0,0
17,4,5,0,0
17,4,10,40.4,0
17,4,15,26.8,0
17,4,20,33,0
17,4,25,12.4,0
17,4,30,14,0
17,4,35,11.4,0
17,4,40,23.8,0
17,4,45,24.2,0
17,4,50,21.2,0
17,4,55,44.6,0
17,5,0,39.8,0
17,5,5,12.4,0
17,5,10,36.6,0
17,5,15,30.8,0
17,5,20,28.4,0
17,5,25,26.2,0
17,5,30,30,0
17,5,35,39.6,0
17,5,40,43.6,0
17,5,45,18.6,0
17,5,50,10.4,0
17,5,55,28.8,0
17,6,0,51.4,0
17,6,5,44,0
17,6,10,42.2,0
17,6,15,26.2,0
17,6,20,55.6,0
17,6,25,29,0
17,6,30,54,0
17,6,35,48,0
17,6,40,36,0
17,6,45,23.4,0
17,6,50,19.4,0
17,6,55,49.2,0
17,7,0,18.8,0
17,7,5,40.6,0
17,7,10,33.4,0
17,7,15,34.2,0
17,7,20,37.2,0
17,7,25,41.6,0
17,7,30,28.4,0
17,7,35,29,0
17,7,40,19.2,0
17,7,45,13.6,0
17,7,50,4.6,0
17,7,55,23.6,0
17,8,0,12.6,0
17,8,5,0,0
17,8,10,0,0
17,8,15,0,0
17,8,20,0,0
17,8,25,0,0
17,8,30,0,0
17,8,35,0,0
17,8,40,0,0
17,8,45,0,0
17,8,50,0,0
17,8,55,0,0
17,9,0,0,0
17,9,5,0,0
17,9,10,0,0
17,9,15,0,0
17,9,20,0,0
17,9,25,0,0
17,9,30,0,0
17,9,35,0,0
17,9,40,0,0
17,9,45,0,0
17,9,50,0,0
17,9,55,0,0
17,10,0,0,0
17,10,5,0,0
17,10,10,0,0
17,10,15,6.4,0
17,10,20,22.6,0
17,10,25,32.6,0
17,10,30,9.8,0
17,10,35,0,0
17,10,40,0,0
17,10,45,0,0
17,10,50,0,0
17,10,55,0,0
17,11,0,0,0
17,11,5,0,0
17,11,10,0,0
17,11,15,0,0
17,11,20,0,0
17,11,25,0,0
17,11,30,0,0
17,11,35,0,0
17,11,40,0,0
17,11,45,0,0
17,11,50,0,0
17,11,55,0,0
17,12,0,0,0
17,12,5,0,0
17,12,10,0,0
17,12,15,0,0
17,12,20,0,0
17,12,25,0,0
17,12,30,0,0
17,12,35,0,0
17,12,40,0,0
17,12,45,0,0
17,12,50,0,0
17,12,55,5.6,0
17,13,0,14.2,0
17,13,5,13.2,0
17,13,10,0,0
17,13,15,0,0
17,13,20,0,0
17,13,25,0,0
17,13,30,0,0
17,13,35,0,0
17,13,40,0,0
17,13,45,0,0
17,13,50,0,0
17,13,55,3.4,0
17,14,0,0,0
17,14,5,0,0
17,14,10,0,0
17,14,15,0,0
17,14,20,0,0
17,14,25,0,0
17,14,30,0,0
17,14,35,0,0
17,14,40,0,0
17,14,45,0,0
17,14,50,0,0
17,14,55,0,0
17,15,0,0,0
17,15,5,0,0
17,15,10,0,0
17,15,15,0,0
17,15,20,0,0
17,15,25,0,0
17,15,30,0,0
17,15,35,0,0
17,15,40,0,0
17,15,45,0,0
17,15,50,0,0
17,15,55,0,0
17,16,0,6.2,0
17,16,5,42,0
17,16,10,27.6,0
17,16,15,18.8,0
17,16,20,0,0
17,16,25,0,0
17,16,30,0,0
17,16,35,0,0
17,16,40,0,0
17,16,45,0,0
17,16,50,0,0
17,16,55,0,0
17,17,0,0,0
17,17,5,0,0
17,17,10,16.6,1.6
17,17,15,22.8,0
17,17,20,0,0
17,17,25,0,0
17,17,30,16.6,0
17,17,35,2.4,0
17,17,40,0,0
17,17,45,0,0
17,17,50,0,0
17,17,55,0,0
17,18,0,0,0
17,18,5,0,0
17,18,10,0,0
17,18,15,0,0
17,18,20,0,0
17,18,25,0,0
17,18,30,0,0
17,18,35,18.8,0
17,18,40,29,0
17,18,45,51.8,0
17,18,50,16.2,0
17,18,55,31,0
17,19,0,20.2,0
17,19,5,15.8,0
17,19,10,23.2,0
17,19,15,13.2,0
17,19,20,13,0
17,19,25,15.8,0
17,19,30,39,0
17,19,35,35.2,0
17,19,40,32.6,0
17,19,45,44.2,0
17,19,50,38,0
17,19,55,10.4,0
17,20,0,34.6,0
17,20,5,11.6,0
17,20,10,29.8,0
17,20,15,19.6,0
17,20,20,0,0
17,20,25,28.4,0
17,20,30,20.2,0
17,20,35,11.8,0
17,20,40,11.2,0
17,20,45,18.8,0
17,20,50,47,0
17,20,55,36.6,0
17,21,0,15.8,0
17,21,5,4.4,0
17,21,10,38.4,0
17,21,15,22,0
17,21,20,30.8,0
17,21,25,46.2,0
17,21,30,55.6,0
17,21,35,4.4,0
17,21,40,42.6,0
17,21,45,48.2,0
17,21,50,22.2,0
17,21,55,1.6,0
17,22,0,23.6,0
17,22,5,19.2,0
17,22,10,47.4,0
17,22,15,21.4,0
17,22,20,0,0
17,22,25,0,0
17,22,30,0,0
17,22,35,0,0
17,22,40,0,0
17,22,45,0,0
17,22,50,0,0
17,22,55,0,0
17,23,0,0,0
17,23,5,0,0
17,23,10,0,0
17,23,15,0,0
17,23,20,0,0
17,23,25,0,0
17,23,30,0,0
17,23,35,0,0
17,23,40,0,0
17,23,45,0,0
17,23,50,0,0
17,23,55,0,0
18,0,0,0,0
18,0,5,20.8,0
18,0,10,39.4,0
18,0,15,10.2,0
18,0,20,38,0
18,0,25,37.6,0
18,0,30,5.8,0
18,0,35,34.4,0
18,0,40,63.6,0
18,0,45,47.8,0
18,0,50,34.6,0
18,0,55,21.8,0
18,1,0,35.2,0
18,1,5,44.2,0
18,1,10,64.6,0
18,1,15,37.4,0
18,1,20,40.2,0
18,1,25,24.6,0
18,1,30,42.4,0
18,1,35,25.4,0
18,1,40,45.4,0
18,1,45,35.8,0
18,1,50,40.2,0
18,1,55,0,0
18,2,0,0,0
18,2,5,0,0
18,2,10,0,0
18,2,15,0,0
18,2,20,0,0
18,2,25,0,0
18,2,30,0,0
18,2,35,0,0
18,2,40,0,0
18,2,45,0,0
18,2,50,0,0
18,2,55,0,0
18,3,0,0,0
18,3,5,0,0
18,3,10,0,0
18,3,15,0,0
18,3,20,0,0
18,3,25,0,0
18,3,30,0,0
18,3,35,0,0
18,3,40,0,0
18,3,45,0,0
18,3,50,0,0
18,3,55,0,0
18,4,0,0,0
18,4,5,0,0
18,4,10,0,0
18,4,15,8,0
18,4,20,0,0
18,4,25,30.2,0
18,4,30,31.4,0
18,4,35,45.8,0
18,4,40,45.6,0
18,4,45,50.2,0
18,4,50,47.4,0
18,4,55,5.2,0
18,5,0,36.2,0
18,5,5,43.2,0
18,5,10,35.4,0
18,5,15,42.8,0
18,5,20,12.8,0
18,5,25,15.4,0
18,5,30,27.8,0
18,5,35,52,0
18,5,40,40.8,0
18,5,45,36.8,0
18,5,50,43.6,0
18,5,55,53,0
18,6,0,52.6,0
18,6,5,15.8,0
18,6,10,21.4,0
18,6,15,54.8,0
18,6,20,31,0
18,6,25,51.6,0
18,6,30,17.8,0
18,6,35,18.4,0
18,6,40,53.2,0
18,6,45,38.6,0
18,6,50,38.8,0
18,6,55,31,0
18,7,0,27.6,0
18,7,5,35.8,0
18,7,10,49.4,0
18,7,15,22,0
18,7,20,29.2,0
18,7,25,27,0
18,7,30,7.2,0
18,7,35,33.6,0
18,7,40,16.2,0
18,7,45,19.6,0
18,7,50,0,0
18,7,55,0,0
18,8,0,0,0
18,8,5,0,0
18,8,10,0,0
18,8,15,0,0
18,8,20,0,0
18,8,25,0,0
18,8,30,0,0
18,8,35,0,0
18,8,40,0,0
18,8,45,0,0
18,8,50,0,0
18,8,55,0,0
18,9,0,0,0
18,9,5,0,0
18,9,10,0,0
18,9,15,0,0
18,9,20,0,0
18,9,25,0,0
18,9,30,0,0
18,9,35,0,0
18,9,40,0,0
18,9,45,0,0
18,9,50,0,0
18,9,55,0,0
18,10,0,0,0
18,10,5,0,0
18,10,10,0,0
18,10,15,0,0
18,10,20,13.8,0
18,10,25,37.2,0
18,10,30,18,0
18,10,35,25.8,0
18,10,40,41.4,0
18,10,45,29.4,0
18,10,50,35.8,0
18,10,55,21.2,0
18,11,0,14.8,0
18,11,5,0,0
18,11,10,0,0
18,11,15,0,0
18,11,20,0,0
18,11,25,0,0
18,11,30,0,0
18,11,35,0,0
18,11,40,0,0
18,11,45,0,0
18,11,50,0,0
18,11,55,0,0
18,12,0,0,0
18,12,5,0,0
18,12,10,0,0
18,12,15,5.2,0
18,12,20,0,0
18,12,25,0,0
18,12,30,0,0
18,12,35,0,0
18,12,40,0,0
18,12,45,0,0
18,12,50,0,0
18,12,55,0,0
18,13,0,0,0
18,13,5,0,0
18,13,10,0,0
18,13,15,0,0
18,13,20,0,0
18,13,25,11,0
18,13,30,15.4,0
18,13,35,2.8,0
18,13,40,0,0
18,13,45,0,0
18,13,50,24.8,0
18,13,55,11.8,0
18,14,0,4.2,0
18,14,5,13.6,0
18,14,10,0,0
18,14,15,0,0
18,14,20,0,0
18,14,25,0,0
18,14,30,0,0
18,14,35,0,0
18,14,40,0,0
18,14,45,0,0
18,14,50,0,0
18,14,55,0,0
18,15,0,7.4,0.8
18,15,5,4.2,0
18,15,10,0,0
18,15,15,0,0
18,15,20,0,0
18,15,25,0,0
18,15,30,0,0
18,15,35,0,0
18,15,40,0,0
18,15,45,0,0
18,15,50,0,0
18,15,55,0,0
18,16,0,0,0
18,16,5,0,0
18,16,10,0,0
18,16,15,9,0.4
18,16,20,4.2,0
18,16,25,0,0
18,16,30,11.4,0
18,16,35,15.2,0
18,16,40,47.8,0
18,16,45,32.8,0
18,16,50,0,0
18,16,55,0,0
18,17,0,0,0
18,17,5,0,0
18,17,10,0,0
18,17,15,0,0
18,17,20,0,0
18,17,25,0,0
18,17,30,0,0
18,17,35,0,0
18,17,40,0,0
18,17,45,0,0
18,17,50,0,0
18,17,55,0,0
18,18,0,0,0
18,18,5,0,0
18,18,10,41.8,0
18,18,15,37,0
18,18,20,59,0
18,18,25,23.8,0
18,18,30,27.8,0
18,18,35,14.8,0
18,18,40,44.6,0
18,18,45,20.2,0
18,18,50,43.6,0
18,18,55,47.4,0
18,19,0,39.4,0
18,19,5,35.2,0
18,19,10,47.4,0
18,19,15,36.8,0
18,19,20,54.2,0
18,19,25,32.2,0
18,19,30,28,0
18,19,35,14.6,0
18,19,40,50.8,0
18,19,45,54.4,0
18,19,50,30.8,0
18,19,55,65.8,0
18,20,0,51.6,0
18,20,5,55.2,0
18,20,10,74.8,0
18,20,15,59.8,0
18,20,20,51.8,0
18,20,25,76,0
18,20,30,36,0
18,20,35,47,0
18,20,40,41.6,0
18,20,45,30,0
18,20,50,57.8,0
18,20,55,45.4,0
18,21,0,44,0
18,21,5,58.8,0
18,21,10,58.2,0
18,21,15,32,0
18,21,20,45,0
18,21,25,56.8,0
18,21,30,34.4,0
18,21,35,42,0
18,21,40,58.6,0
18,21,45,26.6,0
18,21,50,8.6,0
18,21,55,36.4,0
18,22,0,2.8,0
18,22,5,26.4,0
18,22,10,41.2,0
18,22,15,20.6,0
18,22,20,55,0
18,22,25,22.4,0
18,22,30,69.4,0
18,22,35,40.8,0
18,22,40,43.4,0
18,22,45,22.4,0
18,22,50,31.4,0
18,22,55,42,0
18,23,0,38.8,0
18,23,5,25.6,0
18,23,10,30.8,0
18,23,15,55.4,0
18,23,20,50,0
18,23,25,58.8,0
18,23,30,26.6,0
18,23,35,38.2,0
18,23,40,25.8,0
18,23,45,51.2,0
18,23,50,39.2,0
18,23,55,15.4,0
19,0,0,1.6,0
19,0,5,0,0
19,0,10,0,0
19,0,15,0,0
19,0,20,0,0
19,0,25,0,0
19,0,30,0,0
19,0,35,2.4,0
19,0,40,12.8,0
19,0,45,2,0
19,0,50,29,0
19,0,55,28.4,0
19,1,0,0,0
19,1,5,0,0
19,1,10,0,0
19,1,15,0,0
19,1,20,0,0
19,1,25,0,0
19,1,30,0,0
19,1,35,0,0
19,1,40,0,0
19,1,45,0,0
19,1,50,0,0
19,1,55,0,0
19,2,0,0,0
19,2,5,0,0
19,2,10,0,0
19,2,15,0,0
19,2,20,0,0
19,2,25,0,0
19,2,30,0,0
19,2,35,0,0
19,2,40,0,0
19,2,45,0,0
19,2,50,0,0
19,2,55,0,0
19,3,0,0,0
19,3,5,0,0
19,3,10,0,0
19,3,15,44.2,0
19,3,20,54.2,0
19,3,25,49,0
19,3,30,25,0
19,3,35,49.2,0
19,3,40,50.6,0
19,3,45,35.2,0
19,3,50,75.2,0
19,3,55,35.2,0
19,4,0,61.2,0
19,4,5,40.6,0
19,4,10,39.4,0
19,4,15,27,0
19,4,20,42.4,0
19,4,25,33.2,0
19,4,30,24.2,0
19,4,35,9.4,0
19,4,40,18.6,0
19,4,45,49,0
19,4,50,36.4,0
19,4,55,48.4,0
19,5,0,26.6,0
19,5,5,33.4,0
19,5,10,29.2,0
19,5,15,51,0
19,5,20,24.6,0
19,5,25,32.2,0
19,5,30,27.2,0
19,5,35,37.2,0
19,5,40,21.8,0
19,5,45,17.2,0
19,5,50,24,0
19,5,55,22.6,0
19,6,0,37.6,0
19,6,5,43.2,0
19,6,10,25.6,0
19,6,15,34.4,0
19,6,20,34.4,0
19,6,25,44,0
19,6,30,36.6,0
19,6,35,52.6,0
19,6,40,50.6,0
19,6,45,26.8,0
19,6,50,33.4,0
19,6,55,4.8,0
19,7,0,0,0
19,7,5,0,0
19,7,10,0,0
19,7,15,0,0
19,7,20,0,0
19,7,25,0,0
19,7,30,0,0
19,7,35,9.6,0
19,7,40,0,0
19,7,45,0,0
19,7,50,0,0
19,7,55,0,0
19,8,0,0,0
19,8,5,0,0
19,8,10,0,0
19,8,15,0,0
19,8,20,0,0
19,8,25,0,0
19,8,30,0,0
19,8,35,0,0
19,8,40,0,0
19,8,45,0,0
19,8,50,0,0
19,8,55,0,0
19,9,0,0,0
19,9,5,0,0
19,9,10,0,0
19,9,15,0,0
19,9,20,0,0
19,9,25,0,0
19,9,30,0,0
19,9,35,35.6,0
19,9,40,50.4,0
19,9,45,23.2,0
19,9,50,23.4,0
19,9,55,7.6,0
19,10,0,0,0
19,10,5,0,0
19,10,10,0,0
19,10,15,0,0
19,10,20,1.4,0
19,10,25,0,0
19,10,30,0,0
19,10,35,0,0
19,10,40,0,0
19,10,45,0,0
19,10,50,0,0
19,10,55,0,0
19,11,0,0,0
19,11,5,0,0
19,11,10,0,0
19,11,15,0,0
19,11,20,0,0
19,11,25,0,0
19,11,30,0,0
19,11,35,0,0
19,11,40,0,0
19,11,45,0,0
19,11,50,0,0
19,11,55,0,0
19,12,0,0,0
19,12,5,0,0
19,12,10,0,0
19,12,15,0,0
19,12,20,0,0
19,12,25,0,0
19,12,30,0,0
19,12,35,0,0
19,12,40,25.2,0
19,12,45,12.8,0
19,12,50,10.2,0
19,12,55,15.8,0
19,13,0,22.2,0
19,13,5,23.6,0
19,13,10,9.4,0
19,13,15,8.8,0
19,13,20,0,0
19,13,25,0,0
19,13,30,0,0
19,13,35,0,0
19,13,40,0,0
19,13,45,0,0
19,13,50,2.6,0
19,13,55,0,0
19,14,0,0,0
19,14,5,0,0
19,14,10,0,0
19,14,15,0,0
19,14,20,0,0
19,14,25,0,0
19,14,30,0,0
19,14,35,0,0
19,14,40,0,0
19,14,45,0,0
19,14,50,0,0
19,14,55,36.8,1.2
19,15,0,12.8,0
19,15,5,9.8,0
19,15,10,8.4,0
19,15,15,0,0
19,15,20,0,0
19,15,25,0,0
19,15,30,0,0
19,15,35,0,0
19,15,40,0,0
19,15,45,0,0
19,15,50,0,0
19,15,55,0,0
19,16,0,0,0
19,16,5,0,0
19,16,10,0,0
19,16,15,0,0
19,16,20,0,0
19,16,25,0,0
19,16,30,0,0
19,16,35,0,0
19,16,40,0,0
19,16,45,5.8,0
19,16,50,17.2,0
19,16,55,0,0
19,17,0,35.8,0
19,17,5,13,0
19,17,10,6.6,0
19,17,15,0,0
19,17,20,0,0
19,17,25,0,0
19,17,30,0,0
19,17,35,0,0
19,17,40,0,0
19,17,45,0,0
19,17,50,0,0
19,17,55,1,0
19,18,0,21,0
19,18,5,5.2,0
19,18,10,40.8,0
19,18,15,27.6,0
19,18,20,24,0
19,18,25,18,0
19,18,30,40.2,0
19,18,35,30.6,0
19,18,40,25,0
19,18,45,16.2,0
19,18,50,23.2,0
19,18,55,44,0
19,19,0,14.4,0
19,19,5,36,0
19,19,10,10.4,0
19,19,15,24,0
19,19,20,29.2,0
19,19,25,43.8,0
19,19,30,7,0
19,19,35,18.4,0
19,19,40,8.6,0
19,19,45,37,0
19,19,50,25.4,0
19,19,55,11,0
19,20,0,25.4,0
19,20,5,13.4,0
19,20,10,44,0
19,20,15,30.6,0
19,20,20,4.2,0
19,20,25,17.2,0
19,20,30,7,0
19,20,35,15,0
19,20,40,52.2,0
19,20,45,40.8,0
19,20,50,78.2,0
19,20,55,19.4,0
19,21,0,39.8,0
19,21,5,20.8,0
19,21,10,54.8,0
19,21,15,13.6,0
19,21,20,22,0
19,21,25,40.2,0
19,21,30,34.8,0
19,21,35,64.6,0
19,21,40,37,0
19,21,45,43,0
19,21,50,1,0
19,21,55,22.2,0
19,22,0,21.4,0
19,22,5,37.6,0
19,22,10,56.8,0
19,22,15,39.4,0
19,22,20,22,0
19,22,25,49.2,0
19,22,30,34.8,0
19,22,35,42.8,0
19,22,40,3.2,0
19,22,45,40.2,0
19,22,50,13,0
19,22,55,18,0
19,23,0,16.4,0
19,23,5,18.4,0
19,23,10,33.6,0
19,23,15,58.8,0
19,23,20,54.8,0
19,23,25,21,0
19,23,30,36.2,0
19,23,35,31,0
19,23,40,58.2,0
19,23,45,28.6,0
19,23,50,38.8,0
19,23,55,50.6,0
20,0,0,10,0
20,0,5,33.6,0
20,0,10,36,0
20,0,15,29.4,0
20,0,20,16.4,0
20,0,25,15.4,0
20,0,30,52,0
20,0,35,51.8,0
20,0,40,46.6,0
20,0,45,26.8,0
20,0,50,27.4,0
20,0,55,23.2,0
20,1,0,56,0
20,1,5,30,0
20,1,10,18.6,0
20,1,15,35.6,0
20,1,20,24,0
20,1,25,22.4,0
20,1,30,67.4,0
20,1,35,32.2,0
20,1,40,22.2,0
20,1,45,0,0
20,1,50,32.4,0
20,1,55,36.6,0
20,2,0,25,0
20,2,5,4.8,0
20,2,10,13.8,0
20,2,15,30.2,0
20,2,20,0,0
20,2,25,0,0
20,2,30,0,0
20,2,35,34.4,0
20,2,40,18.4,0
20,2,45,40.8,0
20,2,50,23.4,0
20,2,55,24.2,0
20,3,0,12.8,0
20,3,5,41.4,0
20,3,10,6.2,0
20,3,15,18,0
20,3,20,31.2,0
20,3,25,39.4,0
20,3,30,21.2,0
20,3,35,36.4,0
20,3,40,20.4,0
20,3,45,17.8,0
20,3,50,42.4,0
20,3,55,8.8,0
20,4,0,6.8,0
20,4,5,40.4,0
20,4,10,47.8,0
20,4,15,11.8,0
20,4,20,10.8,0
20,4,25,41.4,0
20,4,30,27,0
20,4,35,16.8,0
20,4,40,23.8,0
20,4,45,15.2,0
20,4,50,40,0
20,4,55,22.2,0
20,5,0,55.4,0
20,5,5,30,0
20,5,10,37.4,0
20,5,15,37.6,0
20,5,20,25.4,0
20,5,25,41,0
20,5,30,41.4,0
20,5,35,8.4,0
20,5,40,15.2,0
20,5,45,0,0
20,5,50,0,0
20,5,55,20.8,0
20,6,0,19.6,0
20,6,5,7.8,0
20,6,10,8.4,0
20,6,15,34.2,0
20,6,20,11.6,0
20,6,25,0,0
20,6,30,0,0
20,6,35,0,0
20,6,40,12.4,0
20,6,45,27.6,0
20,6,50,0,0
20,6,55,0,0
20,7,0,0,0
20,7,5,4.4,0
20,7,10,19.2,0
20,7,15,25,0
20,7,20,0,0
20,7,25,0,0
20,7,30,0,0
20,7,35,0,0
20,7,40,0,0
20,7,45,0,0
20,7,50,0,0
20,7,55,0,0
20,8,0,0,0
20,8,5,0,0
20,8,10,0,0
20,8,15,0,0
20,8,20,0,0
20,8,25,0,0
20,8,30,0,0
20,8,35,0,0
20,8,40,0,0
20,8,45,39.4,0
20,8,50,20.4,0
20,8,55,12.6,0
20,9,0,4.6,0
20,9,5,0,0
20,9,10,0,0
20,9,15,0,0
20,9,20,0,0
20,9,25,0,0
20,9,30,18.2,12.8
20,9,35,26.6,0
20,9,40,0,0
20,9,45,0,0
20,9,50,0,0
20,9,55,0,0
20,10,0,0,0
20,10,5,0,0
20,10,10,0,0
20,10,15,0,0
20,10,20,0,0
20,10,25,0,0
20,10,30,0,0
20,10,35,0,0
20,10,40,0,0
20,10,45,0,0
20,10,50,0,0
20,10,55,0,0
20,11,0,0,0
20,11,5,0,0
20,11,10,0,0
20,11,15,0,0
20,11,20,0,0
20,11,25,0,0
20,11,30,0,0
20,11,35,0,0
20,11,40,0,0
20,11,45,0,0
20,11,50,0,0
20,11,55,0,0
20,12,0,0,0
20,12,5,0,0
20,12,10,0,0
20,12,15,0,0
20,12,20,0,0
20,12,25,0,0
20,12,30,0,0
20,12,35,11,0
20,12,40,21,0
20,12,45,56.2,0
20,12,50,56.4,0
20,12,55,20,0
20,13,0,0,0
20,13,5,0,0
20,13,10,0,0
20,13,15,0,0
20,13,20,0,0
20,13,25,0,0
20,13,30,0,0
20,13,35,0,0
20,13,40,0,0
20,13,45,0,0
20,13,50,0,0
20,13,55,0,0
20,14,0,0,0
20,14,5,0,0
20,14,10,0,0
20,14,15,0,0
20,14,20,0,0
20,14,25,0,0
20,14,30,0,0
20,14,35,0,0
20,14,40,0,0
20,14,45,0,0
20,14,50,0,0
20,14,55,0,0
20,15,0,0,0
20,15,5,0,0
20,15,10,3.4,0
20,15,15,0,0
20,15,20,0,0
20,15,25,18.2,0
20,15,30,0,0
20,15,35,0,0
20,15,40,0,0
20,15,45,0,0
20,15,50,0,0
20,15,55,0,0
20,16,0,0,0
20,16,5,0,0
20,16,10,0,0
20,16,15,0,0
20,16,20,0,0
20,16,25,0,0
20,16,30,0,0
20,16,35,0,0
20,16,40,0,0
20,16,45,0,0
20,16,50,24,0
20,16,55,13.6,0
20,17,0,17.2,0
20,17,5,0,0
20,17,10,0,0
20,17,15,18.2,0
20,17,20,0,0
20,17,25,0,0
20,17,30,0,0
20,17,35,0,0
20,17,40,0,0
20,17,45,0,0
20,17,50,0,0
20,17,55,0,0
20,18,0,0,0
20,18,5,0,0
20,18,10,11.2,0
20,18,15,32.6,0
20,18,20,40.6,0
20,18,25,25.8,0
20,18,30,29.6,0
20,18,35,26,0
20,18,40,29,0
20,18,45,38.8,0
20,18,50,31,0
20,18,55,11,0
20,19,0,43.6,0
20,19,5,24,0
20,19,10,20.4,0
20,19,15,26.2,0
20,19,20,32,0
20,19,25,19.6,0
20,19,30,69.4,0
20,19,35,43,0
20,19,40,43.6,0
20,19,45,40.8,0
20,19,50,9.8,0
20,19,55,0,0
20,20,0,3.4,0
20,20,5,0,0
20,20,10,0,0
20,20,15,0,0
20,20,20,0,0
