ClockLab,,,,
1873L,,,,
16-Nov-20,6:00,,,
Day,Hr,Min,Cnts/min,Lights
2,2,20,0,0
2,2,25,0,0
2,2,30,0,0
2,2,35,0,0
2,2,40,0,0
2,2,45,0,0
2,2,50,0,0
2,2,55,0,0
2,3,0,0,0
2,3,5,0,0
2,3,10,0,0
2,3,15,0,0
2,3,20,0,0
2,3,25,0,0
2,3,30,0,0
2,3,35,0,0
2,3,40,0,0
2,3,45,0,0
2,3,50,0,0
2,3,55,0,0
2,4,0,0,0
2,4,5,0,0
2,4,10,0,0
2,4,15,0,0
2,4,20,0,0
2,4,25,0,0
2,4,30,0,0
2,4,35,16,0
2,4,40,0,0
2,4,45,0,0
2,4,50,0,0
2,4,55,0,0
2,5,0,0,0
2,5,5,0,0
2,5,10,0,0
2,5,15,0,0
2,5,20,0,0
2,5,25,0,0
2,5,30,0,0
2,5,35,0,0
2,5,40,0,0
2,5,45,0,0
2,5,50,0,0
2,5,55,19.4,0
2,6,0,13,0
2,6,5,0.8,0
2,6,10,15.6,0
2,6,15,40.4,0
2,6,20,4,0
2,6,25,9.4,0
2,6,30,12.6,0
2,6,35,5,0
2,6,40,0,0
2,6,45,5.4,0
2,6,50,6.4,0
2,6,55,5.8,0
2,7,0,20.6,10.6
2,7,5,8.2,18.8
2,7,10,0,10.2
2,7,15,0,14.2
2,7,20,0,12.2
2,7,25,0,12.6
2,7,30,0,16.6
2,7,35,0,11.6
2,7,40,0,10.6
2,7,45,0,10
2,7,50,0,14.2
2,7,55,0,9.4
2,8,0,0,57.2
2,8,5,0,14.6
2,8,10,0,5
2,8,15,0,2.2
2,8,20,0,59.8
2,8,25,0,9.4
2,8,30,0,105.6
2,8,35,5.2,8.8
2,8,40,15.4,60.8
2,8,45,1.8,106.6
2,8,50,0.2,58.4
2,8,55,6.4,11
2,9,0,0,11.2
2,9,5,0,58.2
2,9,10,0,8.6
2,9,15,0,8.8
2,9,20,0,9.4
2,9,25,0,9.2
2,9,30,0,55.6
2,9,35,0,10
2,9,40,0,105.4
2,9,45,0,63
2,9,50,0,8
2,9,55,0,104.6
2,10,0,0,106.6
2,10,5,0,59.6
2,10,10,0,8.6
2,10,15,0,57.8
2,10,20,0,58.8
2,10,25,0,106.6
2,10,30,0,52.6
2,10,35,0,152.2
2,10,40,0,107
2,10,45,0,57.2
2,10,50,0,102
2,10,55,0,10.6
2,11,0,18.8,101.4
2,11,5,0,155.4
2,11,10,3.2,58.6
2,11,15,0,105
2,11,20,3.6,57.8
2,11,25,0,7.4
2,11,30,0,59.2
2,11,35,0,54.8
2,11,40,0,105.6
2,11,45,0,105
2,11,50,0,6
2,11,55,0,6.6
2,12,0,0,57.6
2,12,5,0,56.8
2,12,10,0,102.8
2,12,15,0,106.6
2,12,20,0,104.6
2,12,25,0,106.4
2,12,30,0,105
2,12,35,0,105
2,12,40,0,57.2
2,12,45,0,152.4
2,12,50,11.4,251.2
2,12,55,5,101.8
2,13,0,0,251.8
2,13,5,0,154.2
2,13,10,0,103.4
2,13,15,0,105.4
2,13,20,0,200.6
2,13,25,0,105
2,13,30,0,58.6
2,13,35,0,57
2,13,40,0,55
2,13,45,0,105.6
2,13,50,0,109
2,13,55,0,54
2,14,0,0,152.4
2,14,5,0,108.6
2,14,10,0,104.8
2,14,15,0,199.6
2,14,20,0,55.2
2,14,25,0,203.6
2,14,30,0,154.4
2,14,35,4.4,102.8
2,14,40,15,200.8
2,14,45,20.2,100
2,14,50,14,102.6
2,14,55,0,53.8
2,15,0,2.8,151
2,15,5,0,58.6
2,15,10,0,53.6
2,15,15,0,107.6
2,15,20,0,103.8
2,15,25,0,150.6
2,15,30,0,156
2,15,35,0,105.8
2,15,40,0,152.8
2,15,45,17.8,102.8
2,15,50,19.2,56
2,15,55,18.8,201.2
2,16,0,0,152.6
2,16,5,2,152.2
2,16,10,1.8,56.8
2,16,15,0,156.2
2,16,20,0,104.8
2,16,25,0,105.6
2,16,30,0,54.6
2,16,35,0,103.6
2,16,40,0,53.2
2,16,45,0,154
2,16,50,2.4,54.4
2,16,55,0,154.6
2,17,0,0,109.8
2,17,5,0,53.8
2,17,10,0,102
2,17,15,0,58.8
2,17,20,0,154.2
2,17,25,0,101.8
2,17,30,0,200.6
2,17,35,0,105.4
2,17,40,0,103.4
2,17,45,0,102.8
2,17,50,0,104.6
2,17,55,0,202.8
2,18,0,0,7.2
2,18,5,0.2,154.4
2,18,10,12.2,150.6
2,18,15,0,154
2,18,20,0,101.8
2,18,25,0,56.2
2,18,30,0,103.4
2,18,35,0,201.4
2,18,40,0,56
2,18,45,0,154.6
2,18,50,0,53.4
2,18,55,3.8,153.8
2,19,0,0,49.4
2,19,5,3.8,0
2,19,10,62.6,0
2,19,15,47.2,0
2,19,20,40.8,0
2,19,25,35.2,0
2,19,30,49.2,0
2,19,35,42.8,0
2,19,40,8,0
2,19,45,33,0
2,19,50,25.8,0
2,19,55,34,0
2,20,0,20.8,0
2,20,5,27.6,0
2,20,10,17.4,0
2,20,15,24.6,0
2,20,20,39.2,0
2,20,25,23,0
2,20,30,3.6,0
2,20,35,20.8,0
2,20,40,19.8,0
2,20,45,31,0
2,20,50,12.6,0
2,20,55,16.2,0
2,21,0,36.8,0
2,21,5,19.6,0
2,21,10,0.4,0
2,21,15,22.2,0
2,21,20,30.4,0
2,21,25,39.8,0
2,21,30,17,0
2,21,35,6.8,0
2,21,40,28.2,0
2,21,45,27.6,0
2,21,50,33.2,0
2,21,55,27.6,0
2,22,0,18.6,0
2,22,5,19.4,0
2,22,10,21.2,0
2,22,15,53.4,0
2,22,20,18,0
2,22,25,39.2,0
2,22,30,34,0
2,22,35,18.4,0
2,22,40,33.6,0
2,22,45,29.4,0
2,22,50,14.6,0
2,22,55,38,0
2,23,0,12.8,0
2,23,5,32,0
2,23,10,14.8,0
2,23,15,33.4,0
2,23,20,34,0
2,23,25,27.6,0
2,23,30,30.4,0
2,23,35,50.8,0
2,23,40,28,0
2,23,45,20.4,0
2,23,50,29.4,0
2,23,55,19,0
3,0,0,31,0
3,0,5,32.6,0
3,0,10,28.2,0
3,0,15,18.2,0
3,0,20,31.6,0
3,0,25,21.6,0
